date,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,vessel_status,data_source,year,month,nearest_region,nearest_country_full
1993-01-02,116.9667,19.7,Unknown,Hong Kong - Luzon - Hainan,CHN,TWN,357.5023725724185,115.82595611500004,22.746643521000067,Unknown,mappingpiracy,1993,1,East Asia & Pacific,China
1993-01-04,116.0,22.35,Unknown,Hong Kong - Luzon - Hainan,CHN,CHN,47.43157252093151,115.82595611500004,22.746643521000067,Unknown,mappingpiracy,1993,1,East Asia & Pacific,China
1993-01-06,115.25,19.67,Unknown,Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.04486725500004,Unknown,mappingpiracy,1993,1,East Asia & Pacific,China
1993-01-08,124.5833,29.9,Unknown,East China Sea,CHN,CHN,209.92339619754955,122.40967858200008,29.91120026200008,Unknown,mappingpiracy,1993,1,East Asia & Pacific,China
1993-01-12,120.2667,18.1333333,Unknown,Hong Kong - Luzon - Hainan,PHL,PHL,22.027332077847085,120.470062696,18.091009833000044,Unknown,mappingpiracy,1993,1,East Asia & Pacific,Philippines
1993-01-13,101.85,9.7173,Unknown,Gulf of Thailand. South China Sea,KHM,KHM,184.79664074717292,103.29216556100005,10.583156643000052,Unknown,mappingpiracy,1993,1,East Asia & Pacific,Cambodia
1993-01-25,106.8667,8.5666667,Unknown,South China Sea,VNM,VNM,27.43734378248801,106.65577233200004,8.698879299000055,Unknown,mappingpiracy,1993,1,East Asia & Pacific,Vietnam
1993-01-26,123.5,29.0,Unknown,East China Sea,CHN,CHN,141.5155642586203,122.39519290500004,29.833319403000075,Unknown,mappingpiracy,1993,1,East Asia & Pacific,China
1993-01-26,13.25,-8.8,Unknown,"Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,Anchored,mappingpiracy,1993,1,Sub-Saharan Africa,Angola
1993-01-26,119.4,4.4333333,Unknown,South China Sea,PHL,PHL,25.378587646219167,119.45655358200008,4.65570709800005,Unknown,mappingpiracy,1993,1,East Asia & Pacific,Philippines
1993-01-27,13.25,-8.8,Unknown,"Port of Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,Unknown,mappingpiracy,1993,1,Sub-Saharan Africa,Angola
1993-02-04,123.1667,25.75,Unknown,East China Sea,Unknown,International Waters,34.60225312662303,123.51148522200016,25.75808340100008,Unknown,mappingpiracy,1993,2,,
