ts_utc,lat,lon,sog,cog,mmsi,vessel_type,VHM0,VMDR,VTM10,uo,vo,u10,v10,stormy,rel_wave_angle,sea_sector,along_current_kn,cross_current_kn,stw_est_kn,wind_speed_ms,wind_dir_to,rel_wind_angle
2025-08-20 03:00:00,1.331,104.079,11.7,104,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,172.55999846756458,head,0.09409171807736834,0.020773021646579543,11.60590828192263,2.2735834,293.673,170.32699584960938
2025-08-20 03:03:00,1.329,104.084,11.5,104,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,172.55999846756458,head,0.09409171807736834,0.020773021646579543,11.405908281922631,2.2735834,293.673,170.32699584960938
2025-08-20 03:06:00,1.328,104.087,11.8,101,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,169.55999846756458,head,0.09504994459978999,0.01582017290224986,11.70495005540021,2.2735834,293.673,167.32699584960938
2025-08-20 03:09:00,1.327,104.093,11.5,97,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,165.55999846756458,head,0.09592196718762173,0.00915128679132326,11.404078032812379,2.2735834,293.673,163.32699584960938
2025-08-20 03:12:00,1.327,104.098,11.9,96,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,164.55999846756458,head,0.0960670697839169,0.007475823848397561,11.803932930216083,2.2735834,293.673,162.32699584960938
2025-08-20 03:15:00,1.327,104.104,11.8,91,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,159.55999846756458,head,0.09635306656010549,-0.0009254207389669193,11.703646933439895,2.2735834,293.673,157.32699584960938
2025-08-20 03:18:00,1.327,104.109,11.0,95,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,163.55999846756458,head,0.09618290942013329,0.0057980836971076866,10.903817090579867,2.2735834,293.673,161.32699584960938
2025-08-20 03:21:00,1.327,104.114,11.3,97,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,165.55999846756458,head,0.09592196718762173,0.00915128679132326,11.20407803281238,2.2735834,293.673,163.32699584960938
2025-08-20 03:24:00,1.326,104.12,11.9,99,563123456,Container,0.04999999888241291,111.44000153243542,5.049999887123704,0.049552556,-0.0013410943,-2.0822656,0.91288084,0,167.55999846756458,head,0.09554415881373843,0.012493340452231298,11.804455841186263,2.2735834,293.673,165.32699584960938
2025-08-20 03:27:00,1.325,104.125,12.2,96,563123456,Container,0.06999999843537807,105.95000165514648,5.629999874159694,0.049552556,-0.0013410943,-1.7922657,1.3028809,0,170.04999834485352,head,0.0960670697839169,0.007475823848397561,12.103932930216082,2.2157876,306.01514,149.98486328125
