ts_utc,lat,lon,sog,cog,mmsi,vessel_type
2025-08-20T03:00:00Z,1.331,104.079,11.7,104,563123456,Container
2025-08-20T03:03:00Z,1.329,104.084,11.5,104,563123456,Container
2025-08-20T03:06:00Z,1.328,104.087,11.8,101,563123456,Container
2025-08-20T03:09:00Z,1.327,104.093,11.5,097,563123456,Container
2025-08-20T03:12:00Z,1.327,104.098,11.9,096,563123456,Container
2025-08-20T03:15:00Z,1.327,104.104,11.8,091,563123456,Container
2025-08-20T03:18:00Z,1.327,104.109,11.0,095,563123456,Container
2025-08-20T03:21:00Z,1.327,104.114,11.3,097,563123456,Container
2025-08-20T03:24:00Z,1.326,104.12,11.9,099,563123456,Container
2025-08-20T03:27:00Z,1.325,104.125,12.2,096,563123456,Container
2025-08-20T03:30:00Z,1.325,104.13,12.4,097,563123456,Container
2025-08-20T03:33:00Z,1.324,104.135,12.9,099,563123456,Container
2025-08-20T03:36:00Z,1.324,104.141,12.9,096,563123456,Container
2025-08-20T03:39:00Z,1.323,104.148,11.8,100,563123456,Container
2025-08-20T03:42:00Z,1.322,104.153,12.2,098,563123456,Container
2025-08-20T03:45:00Z,1.322,104.158,11.9,094,563123456,Container
2025-08-20T03:48:00Z,1.322,104.163,11.5,092,563123456,Container
2025-08-20T03:51:00Z,1.321,104.168,11.3,090,563123456,Container
2025-08-20T03:54:00Z,1.32,104.173,10.8,089,563123456,Container
2025-08-20T03:57:00Z,1.32,104.177,11.0,087,563123456,Container
2025-08-20T04:00:00Z,1.32,104.182,10.9,082,563123456,Container
2025-08-20T04:03:00Z,1.32,104.187,10.9,077,563123456,Container
2025-08-20T04:06:00Z,1.321,104.191,10.9,078,563123456,Container
2025-08-20T04:09:00Z,1.323,104.196,11.5,078,563123456,Container
2025-08-20T04:12:00Z,1.323,104.2,11.6,083,563123456,Container
2025-08-20T04:15:00Z,1.325,104.2,11.6,080,563123456,Container
2025-08-20T04:18:00Z,1.325,104.2,11.9,081,563123456,Container
2025-08-20T04:21:00Z,1.326,104.2,12.2,085,563123456,Container
2025-08-20T04:24:00Z,1.326,104.2,12.4,090,563123456,Container
2025-08-20T04:27:00Z,1.326,104.2,12.3,085,563123456,Container
2025-08-20T04:30:00Z,1.327,104.2,12.0,081,563123456,Container
2025-08-20T04:33:00Z,1.328,104.2,12.3,076,563123456,Container
2025-08-20T04:36:00Z,1.329,104.2,12.0,073,563123456,Container
2025-08-20T04:39:00Z,1.331,104.2,11.6,073,563123456,Container
2025-08-20T04:42:00Z,1.332,104.2,12.0,072,563123456,Container
2025-08-20T04:45:00Z,1.333,104.2,11.6,069,563123456,Container
2025-08-20T04:48:00Z,1.335,104.2,11.7,068,563123456,Container
2025-08-20T04:51:00Z,1.338,104.2,12.5,063,563123456,Container
2025-08-20T04:54:00Z,1.341,104.2,12.2,060,563123456,Container
2025-08-20T04:57:00Z,1.343,104.2,11.8,060,563123456,Container
2025-08-20T05:00:00Z,1.346,104.2,11.4,062,563123456,Container
2025-08-20T05:03:00Z,1.348,104.2,11.6,065,563123456,Container
2025-08-20T05:06:00Z,1.35,104.2,11.5,062,563123456,Container
2025-08-20T05:09:00Z,1.353,104.2,11.5,062,563123456,Container
2025-08-20T05:12:00Z,1.355,104.2,11.4,057,563123456,Container
2025-08-20T05:15:00Z,1.358,104.2,11.2,054,563123456,Container
2025-08-20T05:18:00Z,1.361,104.2,11.4,051,563123456,Container
2025-08-20T05:21:00Z,1.364,104.2,11.6,050,563123456,Container
2025-08-20T05:24:00Z,1.368,104.2,11.5,050,563123456,Container
2025-08-20T05:27:00Z,1.371,104.2,10.9,054,563123456,Container
2025-08-20T05:30:00Z,1.375,104.2,11.2,058,563123456,Container
2025-08-20T05:33:00Z,1.378,104.2,11.1,058,563123456,Container
2025-08-20T05:36:00Z,1.38,104.2,10.5,062,563123456,Container
2025-08-20T05:39:00Z,1.383,104.2,10.6,060,563123456,Container
2025-08-20T05:42:00Z,1.386,104.2,11.5,057,563123456,Container
2025-08-20T05:45:00Z,1.389,104.2,11.2,053,563123456,Container
2025-08-20T05:48:00Z,1.392,104.2,10.7,057,563123456,Container
2025-08-20T05:51:00Z,1.394,104.2,10.3,062,563123456,Container
2025-08-20T05:54:00Z,1.397,104.2,10.6,066,563123456,Container
2025-08-20T05:57:00Z,1.4,104.2,10.5,068,563123456,Container
2025-08-20T06:00:00Z,1.402,104.2,10.0,069,563123456,Container
2025-08-20T06:03:00Z,1.403,104.2,9.8,074,563123456,Container
2025-08-20T06:06:00Z,1.405,104.2,9.8,072,563123456,Container
2025-08-20T06:09:00Z,1.405,104.2,10.3,070,563123456,Container
2025-08-20T06:12:00Z,1.407,104.2,10.4,073,563123456,Container
2025-08-20T06:15:00Z,1.408,104.2,10.6,072,563123456,Container
2025-08-20T06:18:00Z,1.41,104.2,10.7,072,563123456,Container
2025-08-20T06:21:00Z,1.411,104.2,10.9,077,563123456,Container
2025-08-20T06:24:00Z,1.413,104.2,10.7,073,563123456,Container
2025-08-20T06:27:00Z,1.415,104.2,10.9,068,563123456,Container
2025-08-20T06:30:00Z,1.416,104.2,10.8,067,563123456,Container
2025-08-20T06:33:00Z,1.418,104.2,10.6,070,563123456,Container
2025-08-20T06:36:00Z,1.42,104.2,10.3,075,563123456,Container
2025-08-20T06:39:00Z,1.421,104.2,9.7,073,563123456,Container
2025-08-20T06:42:00Z,1.423,104.2,9.8,076,563123456,Container
2025-08-20T06:45:00Z,1.424,104.2,9.5,073,563123456,Container
2025-08-20T06:48:00Z,1.426,104.2,10.1,069,563123456,Container
2025-08-20T06:51:00Z,1.426,104.2,10.7,065,563123456,Container
2025-08-20T06:54:00Z,1.428,104.2,11.2,065,563123456,Container
2025-08-20T06:57:00Z,1.431,104.2,11.9,062,563123456,Container
2025-08-20T07:00:00Z,1.433,104.2,11.2,057,563123456,Container
2025-08-20T07:03:00Z,1.437,104.2,10.6,059,563123456,Container
2025-08-20T07:06:00Z,1.44,104.2,10.6,055,563123456,Container
2025-08-20T07:09:00Z,1.443,104.2,10.2,056,563123456,Container
2025-08-20T07:12:00Z,1.446,104.2,10.5,056,563123456,Container
2025-08-20T07:15:00Z,1.449,104.2,10.1,052,563123456,Container
2025-08-20T07:18:00Z,1.452,104.2,10.6,053,563123456,Container
2025-08-20T07:21:00Z,1.455,104.2,10.8,051,563123456,Container
2025-08-20T07:24:00Z,1.458,104.2,10.8,056,563123456,Container
2025-08-20T07:27:00Z,1.46,104.2,10.1,058,563123456,Container
2025-08-20T07:30:00Z,1.463,104.2,10.0,063,563123456,Container
2025-08-20T07:33:00Z,1.465,104.2,10.0,067,563123456,Container
2025-08-20T07:36:00Z,1.466,104.2,9.5,071,563123456,Container
2025-08-20T07:39:00Z,1.468,104.2,9.2,073,563123456,Container
2025-08-20T07:42:00Z,1.469,104.2,8.3,077,563123456,Container
2025-08-20T07:45:00Z,1.47,104.2,9.5,073,563123456,Container
2025-08-20T07:48:00Z,1.472,104.2,9.2,072,563123456,Container
2025-08-20T07:51:00Z,1.473,104.2,9.0,076,563123456,Container
2025-08-20T07:54:00Z,1.473,104.2,8.7,072,563123456,Container
2025-08-20T07:57:00Z,1.473,104.2,9.0,068,563123456,Container
2025-08-20T08:00:00Z,1.474,104.2,8.9,067,563123456,Container
2025-08-20T08:03:00Z,1.475,104.2,8.7,069,563123456,Container
2025-08-20T08:06:00Z,1.476,104.2,8.9,067,563123456,Container
2025-08-20T08:09:00Z,1.478,104.2,9.7,070,563123456,Container
